movie_name,year,duration,imdb_rating,vote_count,metascore,storyline,url
Project Hail Mary,2026,2h 36m,8.4,151K,77,"A science teacher wakes up alone on a spaceship. As his memory returns, he uncovers a mission to stop a mysterious substance killing Earth's sun and that an unexpected friendship may be the key.",https://www.imdb.com/title/tt12042730/
Peaky Blinders: The Immortal Man,2026,1h 52m,6.6,59K,59,"During World War II, Tommy Shelby returns to a bombed Birmingham and becomes involved in secret wartime missions facing new threats as he reckons with his past.",https://www.imdb.com/title/tt15574124/
Mike & Nick & Nick & Alice,2026,1h 47m,6.3,9.3K,69,"Two friends navigate the dangerous world of organized crime, testing their loyalty and survival skills as they get deeper into the criminal underworld.",https://www.imdb.com/title/tt27552099/
Send Help,2026,1h 53m,6.9,62K,75,"When an employee and her insufferable boss become stranded on a deserted island, the only survivors of a plane crash, they must overcome past grievances and work together to make it out alive.",https://www.imdb.com/title/tt8036976/
Dhurandhar The Revenge,2026,3h 50m,8.6,41K,N/A,"Jaskirat Singh Rangi descends deeper into his alias as Hamza Ali Mazari, rising through Karachi's criminal hierarchy to claim the feared title ""Sher-e-Baloch"" while balancing loyalty, betrayal, and survival in a ruthless underworld.",https://www.imdb.com/title/tt39139925/
One Battle After Another,2025,2h 41m,7.7,381K,95,"When their enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own.",https://www.imdb.com/title/tt30144839/
Dhurandhar,2025,3h 34m,8.3,133K,N/A,"A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.",https://www.imdb.com/title/tt33014583/
Ready or Not 2: Here I Come,2026,1h 48m,6.9,11K,58,"After surviving one deadly game, Grace and her sister Faith must now outrun four rival families competing for a powerful throne - winner takes all.",https://www.imdb.com/title/tt33978029/
Anaconda,2025,1h 39m,5.6,48K,43,A group of friends are going through a mid-life crisis. They decide to remake a favorite movie from their youth but encounter unexpected events when they enter the jungle.,https://www.imdb.com/title/tt33244668/
Hoppers,2026,1h 44m,7.5,28K,73,A 19-year-old animal lover uses technology that places her consciousness into a robotic beaver to uncover mysteries within the animal world beyond her imagination.,https://www.imdb.com/title/tt26443616/
Mercy,2026,1h 39m,6.2,49K,34,"Set in the near future, a detective accused of murdering his wife has 90 minutes to prove his innocence to an advanced AI judge.",https://www.imdb.com/title/tt31050594/
Pretty Lethal,2026,1h 28m,5.8,7.1K,51,It follows a group of ballerinas as they try to escape from a remote inn after their bus breaks down on the way to a dance competition.,https://www.imdb.com/title/tt26678938/
War Machine,2026,1h 46m,6.3,80K,54,Follow the final recruits of a grueling special ops boot camp who encounter a mysterious deadly force.,https://www.imdb.com/title/tt15940132/
Sinners,2025,2h 17m,7.5,457K,84,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",https://www.imdb.com/title/tt31193180/
They Will Kill You,2026,1h 34m,6.5,6.3K,50,"A woman takes a job as a housekeeper in a NYC high-rise, unaware of the building's history of disappearances. She soon realizes the community is shrouded in mystery.",https://www.imdb.com/title/tt31728330/
GOAT,2026,1h 40m,6.7,13K,60,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",https://www.imdb.com/title/tt27613895/
Zootopia 2,2025,1h 48m,7.4,119K,73,"Brave rabbit cop Judy Hopps and her friend, the fox Nick Wilde, team up again to crack a new case, the most perilous and intricate of their careers.",https://www.imdb.com/title/tt26443597/
How to Make a Killing,2026,1h 45m,6.5,14K,49,"Disowned at birth by his obscenely wealthy family, a blue-collar will stop at nothing to reclaim his inheritance, no matter how many relatives stand in his way.",https://www.imdb.com/title/tt4357198/
The Housemaid,2025,2h 11m,6.8,125K,65,"A struggling young woman is relieved by the chance for a fresh start as a maid for a wealthy couple. Soon, she discovers that the family's secrets are far more dangerous than her own.",https://www.imdb.com/title/tt27543632/
Ready or Not,2019,1h 35m,6.9,240K,64,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,https://www.imdb.com/title/tt7798634/
"Good Luck, Have Fun, Don't Die",2025,2h 14m,7.1,32K,66,"A ""Man From the Future"" arrives at a diner in Los Angeles where he must recruit the precise combination of disgruntled patrons to join him on a one-night quest to save the world from the terminal threat of a rogue artificial intelligence.",https://www.imdb.com/title/tt1341338/
The Super Mario Galaxy Movie,2026,1h 38m,6.5,15K,36,"Mario ventures into space, exploring cosmic worlds and tackling galactic challenges far from the familiar Mushroom Kingdom.",https://www.imdb.com/title/tt28650488/
The End of Oak Street,N/A,N/A,N/A,N/A,N/A,The Platt family bands together to navigate their new surroundings after a cosmic event transports their suburban neighborhood to someplace unknown.,https://www.imdb.com/title/tt27165187/
Hamnet,2025,2h 5m,7.8,101K,84,"In late 16th-century England, Agnes, a healer sensitive to the world around her, builds a home with William, a local tutor and aspiring playwright. As their lives fracture, they are tested by distance, silence, and grief.",https://www.imdb.com/title/tt14905854/
Scream 7,2026,1h 54m,5.6,42K,35,"When a new Ghostface killer emerges in the town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target.",https://www.imdb.com/title/tt27047903/
Marty Supreme,2025,2h 29m,7.7,150K,89,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",https://www.imdb.com/title/tt32916440/
Nuremberg,2025,2h 28m,7.4,80K,61,"A WWII psychiatrist evaluates Nazi leaders before the Nuremberg trials, growing increasingly obsessed with understanding evil as he forms a disturbing bond with Hermann Göring.",https://www.imdb.com/title/tt29567915/
Forbidden Fruits,2026,1h 43m,6.1,1.1K,54,"At a mall store, Apple leads a secret witch cult with coworkers Cherry and Fig. New hire Pumpkin questions their sisterhood, forcing them to confront inner darkness or meet violent ends.",https://www.imdb.com/title/tt30691214/
Spider-Man: Brand New Day,N/A,N/A,N/A,N/A,N/A,"Four years after No Way Home, a forgotten Peter Parker lives alone as a full-time Spider-Man until mounting pressure triggers a dangerous change and a powerful new enemy emerges.",https://www.imdb.com/title/tt22084616/
Weapons,2025,2h 8m,7.4,338K,81,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",https://www.imdb.com/title/tt26581740/
Wuthering Heights,2026,2h 16m,6.2,53K,55,"A passionate and tumultuous love story set against the backdrop of the Yorkshire moors, exploring the intense and destructive relationship between Heathcliff and Catherine Earnshaw.",https://www.imdb.com/title/tt32897959/
Crime 101,2026,2h 20m,6.9,37K,68,"An elusive thief, eyeing his final score, encounters a disillusioned insurance broker at her own crossroads. As their paths intertwine, a relentless detective trails them hoping to thwart the multi-million dollar heist they are planning.",https://www.imdb.com/title/tt32430579/
Reminders of Him,2026,1h 54m,6.4,4.3K,49,"After prison, a woman attempts to reconnect with her young daughter but faces resistance from everyone except a bar owner with ties to her child. As they grow closer, she must confront her past mistakes to build a hopeful future.",https://www.imdb.com/title/tt33714084/
I Swear,N/A,2h,8.4,33K,73,"John Davidson: diagnosed with Tourette's syndrome at a young age which alienated him from his peers, he struggled with a condition few people had witnessed.",https://www.imdb.com/title/tt31514146/
Shelter,2026,1h 47m,6.2,23K,50,"Michael Mason is a recluse on a remote Scottish island who rescues a girl from the sea, unleashing a perilous sequence of events that culminate in an attack on his home, compelling him to face his turbulent history.",https://www.imdb.com/title/tt32357218/
Bugonia,2025,1h 58m,7.4,173K,72,"Two conspiracy-obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",https://www.imdb.com/title/tt12300742/
The Drama,2026,1h 45m,7.5,6.7K,60,A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,https://www.imdb.com/title/tt33071426/
Sentimental Value,2025,2h 13m,7.7,70K,86,"An intimate exploration of family, memories, and the reconciliatory power of art.",https://www.imdb.com/title/tt27714581/
Interstellar,2014,2h 49m,8.7,2.5M,74,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",https://www.imdb.com/title/tt0816692/
Moana,N/A,N/A,N/A,N/A,N/A,Live-action adaptation of the 2016 Disney animated film 'Moana.',https://www.imdb.com/title/tt27419466/
Superman,2025,2h 9m,7.0,402K,68,"Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the American way he soon finds himself in a world that views these as old-fashioned.",https://www.imdb.com/title/tt5950044/
Dune: Part Three,N/A,N/A,N/A,N/A,N/A,Emperor Paul Atreides faces the fallout from his ascent to power as political plots and a galaxy-wide holy war endanger the future only he can see.,https://www.imdb.com/title/tt31378509/
Frankenstein,2025,2h 29m,7.4,300K,78,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",https://www.imdb.com/title/tt1312221/
Wardriver,2026,1h 33m,5.3,646,N/A,A young hacker is lured into heisting the bank account of an unsuspecting woman.,https://www.imdb.com/title/tt5095076/
The Shawshank Redemption,1994,2h 22m,9.3,3.2M,82,A wrongfully convicted banker forms a close friendship with a hardened convict over a quarter century while retaining his humanity through simple acts of compassion.,https://www.imdb.com/title/tt0111161/
The Mortuary Assistant,2026,1h 31m,3.9,1.6K,N/A,"Follows Rebecca Owens, a mortuary science graduate who takes a night job at River Fields Mortuary. What begins as a routine job soon turns sinister as she faces terrifying supernatural forces.",https://www.imdb.com/title/tt36647890/
Ballerina,2025,2h 4m,6.8,146K,59,An assassin trained in the traditions of the Ruska Roma organization sets out to seek revenge after her father's death.,https://www.imdb.com/title/tt7181546/
